[2020-01-28 15:22:55] [Info] Connect www.googleapis.com:443
[2020-01-28 15:22:59] [Info] Connect lh3.googleusercontent.com:443
[2020-01-28 15:23:10] [Info] Disconnect www.google.com:443
[2020-01-28 15:23:24] [Info] Disconnect www.google.com:443
[2020-01-28 15:23:28] [Info] Disconnect clients1.google.com:443
[2020-01-28 15:23:48] [Info] Disconnect clients4.google.com:443
[2020-01-28 15:25:00] [Info] Disconnect www.googleapis.com:443
[2020-01-28 15:25:02] [Info] Disconnect lh3.googleusercontent.com:443
[2020-01-28 15:27:44] [Info] Connect clients4.google.com:443
[2020-01-28 15:28:57] [Info] Direct connect www.gstatic.com:443
[2020-01-28 15:29:47] [Info] Disconnect clients4.google.com:443
[2020-01-28 15:30:37] [Info] Connect clients4.google.com:443
[2020-01-28 15:32:42] [Info] Disconnect clients4.google.com:443
[2020-01-28 15:34:44] [Info] Connect www.youtube.com:443
[2020-01-28 15:36:47] [Info] Disconnect www.youtube.com:443
[2020-01-28 15:37:20] [Info] Connect clients1.google.com:443
[2020-01-28 15:39:24] [Info] Disconnect clients1.google.com:443
[2020-01-28 15:39:28] [Info] Connect clients4.google.com:443
[2020-01-28 15:41:34] [Info] Disconnect clients4.google.com:443
[2020-01-28 15:41:46] [Info] Connect clients4.google.com:443
[2020-01-28 15:42:21] [Info] Connect clients1.google.com:443
[2020-01-28 15:43:12] [Info] Connect www.google.com:443
[2020-01-28 15:43:43] [Info] Disconnect www.google.com:443
[2020-01-28 15:44:25] [Info] Disconnect clients1.google.com:443
[2020-01-28 15:45:28] [Info] Connect www.google.com:443
[2020-01-28 15:45:40] [Info] Disconnect www.google.com:443
[2020-01-28 15:46:11] [Info] Connect www.google.com:443
[2020-01-28 15:46:24] [Info] Disconnect www.google.com:443
[2020-01-28 15:46:30] [Info] Disconnect clients4.google.com:443
[2020-01-28 15:46:52] [Info] Connect www.youtube.com:443
[2020-01-28 15:46:53] [Info] Connect clients4.google.com:443
[2020-01-28 15:47:44] [Info] Connect clients1.google.com:443
[2020-01-28 15:47:55] [Info] Connect clients2.google.com:443
[2020-01-28 15:48:57] [Info] Disconnect www.youtube.com:443
[2020-01-28 15:49:25] [Info] Disconnect clients4.google.com:443
[2020-01-28 15:49:47] [Info] Disconnect clients1.google.com:443
[2020-01-28 15:49:58] [Info] Disconnect clients2.google.com:443
[2020-01-28 15:51:11] [Info] Connect clients4.google.com:443
[2020-01-28 15:54:12] [Info] Disconnect clients4.google.com:443
[2020-01-28 15:57:02] [Info] Connect clients1.google.com:443
[2020-01-28 15:57:16] [Info] Connect clients4.google.com:443
[2020-01-28 15:58:54] [Info] Connect www.google.com:443
[2020-01-28 15:58:54] [Info] Connect www.google.com:443
[2020-01-28 15:58:54] [Info] Connect www.google.com:443
[2020-01-28 15:58:55] [Info] Connect www.google.com:443
[2020-01-28 15:58:55] [Info] Disconnect www.google.com:443
[2020-01-28 15:58:55] [Info] Disconnect www.google.com:443
[2020-01-28 15:58:57] [Info] Connect s2.googleusercontent.com:443
[2020-01-28 15:59:07] [Debug] DNS query fail: t0.gstatic.com
[2020-01-28 15:59:07] [Info] Connect t0.gstatic.com:443
[2020-01-28 15:59:08] [Info] Disconnect clients1.google.com:443
[2020-01-28 15:59:19] [Info] Connect clients1.google.com:443
[2020-01-28 16:00:37] [Info] Connect clients4.google.com:443
[2020-01-28 16:00:59] [Info] Disconnect www.google.com:443
[2020-01-28 16:01:01] [Info] Disconnect s2.googleusercontent.com:443
[2020-01-28 16:01:11] [Info] Disconnect t0.gstatic.com:443
[2020-01-28 16:01:23] [Info] Disconnect clients1.google.com:443
[2020-01-28 16:02:21] [Info] Disconnect www.google.com:443
[2020-01-28 16:02:32] [Info] Connect www.google.com:443
[2020-01-28 16:02:32] [Info] Connect www.google.com:443
[2020-01-28 16:02:32] [Info] Connect www.google.com:443
[2020-01-28 16:02:32] [Info] Connect s2.googleusercontent.com:443
[2020-01-28 16:02:32] [Info] Connect www.google.com:443
[2020-01-28 16:02:33] [Info] Connect www.youtube.com:443
[2020-01-28 16:02:33] [Info] Disconnect www.google.com:443
[2020-01-28 16:02:34] [Info] Connect clients1.google.com:443
[2020-01-28 16:02:34] [Info] Disconnect www.google.com:443
[2020-01-28 16:02:35] [Info] Connect i.ytimg.com:443
[2020-01-28 16:02:39] [Info] Disconnect clients4.google.com:443
[2020-01-28 16:02:51] [Info] Connect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 16:02:51] [Info] Connect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 16:02:59] [Info] Connect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 16:03:02] [Info] Connect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 16:03:16] [Info] Disconnect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 16:03:17] [Info] Connect yt3.ggpht.com:443
[2020-01-28 16:03:17] [Info] Connect yt3.ggpht.com:443
[2020-01-28 16:03:17] [Info] Connect yt3.ggpht.com:443
[2020-01-28 16:03:17] [Info] Connect yt3.ggpht.com:443
[2020-01-28 16:03:18] [Info] Disconnect yt3.ggpht.com:443
[2020-01-28 16:03:18] [Info] Disconnect yt3.ggpht.com:443
[2020-01-28 16:03:18] [Info] Connect clients1.google.com:443
[2020-01-28 16:03:18] [Info] Disconnect yt3.ggpht.com:443
[2020-01-28 16:03:31] [Info] Disconnect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 16:03:38] [Info] Connect www.googleapis.com:443
[2020-01-28 16:03:45] [Info] Connect passwordsleakcheck-pa.googleapis.com:443
[2020-01-28 16:03:50] [Info] Disconnect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 16:04:09] [Info] Disconnect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 16:04:35] [Info] Disconnect s2.googleusercontent.com:443
[2020-01-28 16:04:35] [Info] Disconnect www.google.com:443
[2020-01-28 16:04:51] [Info] Disconnect www.google.com:443
[2020-01-28 16:05:20] [Info] Disconnect i.ytimg.com:443
[2020-01-28 16:05:20] [Info] Disconnect yt3.ggpht.com:443
[2020-01-28 16:05:24] [Info] Disconnect clients1.google.com:443
[2020-01-28 16:05:42] [Info] Disconnect www.googleapis.com:443
[2020-01-28 16:05:48] [Info] Disconnect passwordsleakcheck-pa.googleapis.com:443
[2020-01-28 16:06:03] [Info] Disconnect www.youtube.com:443
[2020-01-28 16:09:32] [Info] Disconnect clients1.google.com:443
[2020-01-28 16:12:10] [Info] Connect clients1.google.com:443
[2020-01-28 16:13:14] [Info] Connect i.ytimg.com:443
[2020-01-28 16:13:25] [Info] Connect www.youtube.com:443
[2020-01-28 16:14:09] [Info] Connect yt3.ggpht.com:443
[2020-01-28 16:14:09] [Info] Connect yt3.ggpht.com:443
[2020-01-28 16:14:09] [Info] Connect yt3.ggpht.com:443
[2020-01-28 16:14:09] [Info] Connect yt3.ggpht.com:443
[2020-01-28 16:14:10] [Info] Disconnect yt3.ggpht.com:443
[2020-01-28 16:14:10] [Info] Disconnect yt3.ggpht.com:443
[2020-01-28 16:14:10] [Info] Disconnect yt3.ggpht.com:443
[2020-01-28 16:14:13] [Info] Disconnect clients1.google.com:443
[2020-01-28 16:15:37] [Info] Connect www.google.com:443
[2020-01-28 16:15:37] [Info] Connect www.google.com:443
[2020-01-28 16:15:37] [Info] Connect www.google.com:443
[2020-01-28 16:15:37] [Info] Connect s2.googleusercontent.com:443
[2020-01-28 16:15:37] [Info] Disconnect www.google.com:443
[2020-01-28 16:15:43] [Info] Connect ogs.google.com:443
[2020-01-28 16:15:44] [Info] Direct connect www.gstatic.com:443
[2020-01-28 16:15:45] [Info] Connect apis.google.com:443
[2020-01-28 16:15:45] [Info] Connect lh3.googleusercontent.com:443
[2020-01-28 16:15:49] [Info] Connect play.google.com:443
[2020-01-28 16:16:30] [Info] Disconnect yt3.ggpht.com:443
[2020-01-28 16:16:34] [Info] Disconnect i.ytimg.com:443
[2020-01-28 16:17:08] [Info] Disconnect clients4.google.com:443
[2020-01-28 16:17:30] [Info] Disconnect www.youtube.com:443
[2020-01-28 16:17:38] [Info] Disconnect www.google.com:443
[2020-01-28 16:17:41] [Info] Disconnect s2.googleusercontent.com:443
[2020-01-28 16:17:43] [Info] Disconnect www.google.com:443
[2020-01-28 16:17:47] [Info] Disconnect ogs.google.com:443
[2020-01-28 16:17:49] [Info] Disconnect lh3.googleusercontent.com:443
[2020-01-28 16:17:51] [Info] Disconnect play.google.com:443
[2020-01-28 16:17:51] [Info] Disconnect apis.google.com:443
[2020-01-28 16:19:37] [Info] Connect www.google.com:443
[2020-01-28 16:19:37] [Info] Connect www.google.com:443
[2020-01-28 16:19:42] [Info] Connect t0.gstatic.com:443
[2020-01-28 16:19:43] [Info] Connect clients4.google.com:443
[2020-01-28 16:19:49] [Info] Disconnect www.google.com:443
[2020-01-28 16:20:10] [Info] Connect www.google.com:443
[2020-01-28 16:20:20] [Info] Disconnect www.google.com:443
[2020-01-28 16:20:31] [Info] Connect www.google.com:443
[2020-01-28 16:21:45] [Info] Disconnect t0.gstatic.com:443
[2020-01-28 16:22:13] [Info] Disconnect www.google.com:443
[2020-01-28 16:22:28] [Info] Connect www.google.com:443
[2020-01-28 16:22:28] [Info] Connect s2.googleusercontent.com:443
