[2020-09-14 14:13:24] ShadowsocksR started on port 1080
[2020-09-14 14:13:33] [Error] System.IO.IOException: 文件“C:\Users\xiaotingting\Desktop\shadowsocksr\ShadowsocksR-win-4.9.0\temp\mgwz.dll”正由另一进程使用，因此该进程无法访问此文件。
   在 System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   在 System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   在 System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access, FileShare share, Int32 bufferSize)
   在 Shadowsocks.Controller.FileManager.UncompressFile(String fileName, Byte[] content)
   在 Shadowsocks.Controller.HttpProxyRunner..cctor()
[2020-09-14 19:27:14] [Info] Connect 172.217.160.77:443
[2020-09-14 19:27:23] [Info] Connect raw.githubusercontent.com:443
[2020-09-14 19:27:26] [Info] Connect 74.125.23.188:443
[2020-09-14 19:27:27] [Info] Connect 172.217.160.110:443
[2020-09-14 19:27:29] ShadowsocksR started on port 1080
[2020-09-14 19:27:45] [Info] Connect clients4.google.com:443
[2020-09-14 19:29:04] [Info] Disconnect raw.githubusercontent.com:443
[2020-09-14 19:29:07] [Info] Direct connect r1---sn-bvn0o-fo1l.gvt1.com:80
[2020-09-14 19:29:15] [Info] Direct connect r1---sn-bvn0o-fo1l.gvt1.com:80
[2020-09-14 19:29:17] [Info] Disconnect 172.217.160.77:443
[2020-09-14 19:29:17] [Info] Disconnect 172.217.160.77:443
[2020-09-14 19:29:21] [Info] Direct connect r1---sn-bvn0o-fo1l.gvt1.com:80
[2020-09-14 19:29:21] [Info] Disconnect accounts.google.com:443
[2020-09-14 19:29:25] [Info] Direct connect r1---sn-bvn0o-fo1l.gvt1.com:80
[2020-09-14 19:29:27] [Info] Disconnect 74.125.23.188:443
[2020-09-14 19:29:27] [Info] Connect 64.233.189.188:5228
[2020-09-14 19:29:29] [Info] Direct connect r1---sn-bvn0o-fo1l.gvt1.com:80
[2020-09-14 19:29:30] [Info] Direct connect r1---sn-bvn0o-fo1l.gvt1.com:80
[2020-09-14 19:29:31] [Info] Direct connect r1---sn-bvn0o-fo1l.gvt1.com:80
[2020-09-14 19:29:32] [Info] Disconnect 172.217.160.110:443
[2020-09-14 19:29:32] [Info] Direct connect r1---sn-bvn0o-fo1l.gvt1.com:80
[2020-09-14 19:29:33] [Info] Direct connect r1---sn-bvn0o-fo1l.gvt1.com:80
[2020-09-14 19:29:37] [Info] Direct connect r1---sn-bvn0o-fo1l.gvt1.com:80
[2020-09-14 19:29:38] [Info] Direct connect r1---sn-bvn0o-fo1l.gvt1.com:80
[2020-09-14 19:30:02] [Info] Disconnect clients4.google.com:443
[2020-09-14 19:31:30] [Info] Disconnect 64.233.189.188:5228
[2020-09-14 19:31:30] [Info] Connect 64.233.189.188:5228
[2020-09-14 19:32:22] [Info] Connect raw.githubusercontent.com:443
[2020-09-14 19:33:36] [Info] Disconnect 64.233.189.188:5228
[2020-09-14 19:33:36] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:34:04] [Info] Disconnect raw.githubusercontent.com:443
[2020-09-14 19:35:38] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:35:38] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:37:39] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:37:39] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:39:11] [Info] Connect mtalk.google.com:5228
[2020-09-14 19:39:11] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:41:12] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 19:41:12] [Info] Connect mtalk.google.com:5228
